ENERC;CHOAVL;FAT;PROT;FIBC;STARCH;SUGAR;FASAT;NACL
657.96;17.385;6.600;6.90;0;11.5;5.885;3.4881;112.11
875.56;16.660;14.200;3.94;0;0;16.660;9.0277;112.11
459.83;18.605;0.450;6.73;0.760;0.15;18.465;0.1381;287.24
1487.78;52.900;1.000;32.44;0;0;52.900;0.6352;1426.88
190.70;4.800;1.500;3.00;0;0;4.800;1.0492;104.47
152.86;3.600;1.000;3.06;0;0;3.600;0.6225;104.47
1276.20;4.192;30.000;3.50;0.500;0;4.192;20;1223.04
190.70;4.800;1.500;3.00;0;0;4.800;1.0492;104.47
202.29;6.699;0.100;4.26;0.770;0.02;6.679;0.0545;145.83
506.79;14.267;7.000;2.78;0.151;0;14.267;4.6000;91.73
433.03;4.500;8.000;3.14;0;0;4.500;5.7124;86.64
264.70;4.800;3.500;3.00;0;0;4.800;2.2276;112.11
962.80;1.700;18.000;14.00;0;0;1.700;11.3893;2976.06
1583.96;0;30.000;27.88;0;0;0;19.9980;764.40
1727.11;0.100;34.400;25.63;0;0;0.100;20.5088;1800.16
601.68;1.100;15.000;1.60;0;0;1.100;6.0000;254.80
1116.76;0;22.28;17.20;0;0;0;8.0350;135.04
1057.10;0;20.300;18.00;0;0;0;7.5400;135.04
904.41;0;15.8;18.81;0;0;0;5.4728;155.43
900.71;0;15.7;18.81;0;0;0;5.5226;175.81
1394.05;0;30.9;14.75;0;0;0;10.5132;147.78
1439.99;0;32.394;14.200;0;0;0;12.3770;2497.04
3287.52;0;87.684;2.542;0;0;0;35.1801;50.96
697.17;0;10.200;18.81;0;0;0;3.3000;172.24
1111.81;0;21.962;17.600;0;0;0;9.1309;127.40
577.75;0;7.000;18.75;0;0;0;3.2066;142.69
816.62;0;13.4;18.87;0;0;0;4.6706;161.86
598.74;0;8.400;16.94;0;0;0;3.6869;142.69
792.59;0;12.37;19.70;0;0;0;6.0000;142.69
474.61;0;2.88;21.65;0;0;0;1.2056;104.47
487.96;0;3.459;21.175;0;0;0;1.4814;145.24
596.05;0;6.300;21.35;0;0;0;2.5700;180.91
641.70;0;8.200;19.90;0;0;0;3.6279;142.69
537.98;0;4.032;22.870;0;0;0;1.7394;99.37
845.79;0;13.67;20.00;0;0;0;6.0900;142.69
458.05;0;1.95;22.70;0;0;0;0.6000;104.47
767.00;0;12.000;19.00;0;0;0;5.7101;147.78
979.25;0;19.000;16.25;0;0;0;8.0697;165.62
786.52;0;12.500;19.06;0;0;0;5.7101;163.07
533.02;0;4.500;21.56;0;0;0;2.3225;242.06
470.21;0;3.000;21.13;0;0;0;0.6935;142.69
544.21;0;5.000;21.13;0;0;0;0.6935;127.40
681.11;0;8.700;21.13;0;0;0;0.6935;142.69
643.83;4;7.210;18.18;0;3.5;0.500;2.7448;1528.80
1053.82;5;18.788;16.10;0;4;1.000;7.8083;1834.56
395.38;0;5.000;12.38;0;0;0;2.4000;1801.44
504.45;0;4.100;20.75;0;0;0;1.4224;161.80
788.25;0;12.000;20.25;0;0;0;2.9339;152.88
694.14;0;10.72;17.50;0;0;0;3.1558;129.95
573.80;0;5.400;22.00;0;0;0;1.6026;124.85
510.75;0;4.500;20.25;0;0;0;1.1149;225.50
512.95;0;4.1;21.25;0;0;0;1.1915;129.95
501.44;0;6.000;16.44;0;0;0;2.1937;2048.59
441.48;0;2.800;19.88;0;0;0;1.2760;2048.59
420.52;0.629;2.985;17.610;0;0;0.629;1.0589;2048.59
571.37;5.031;3.804;20.300;0;5.031;0;1.4055;152.88
561.39;2.470;3.700;22.50;0;2.47;0;1.1987;382.20
481.37;0.730;4.000;18.88;0;0.73;0;1.1600;175.81
496.10;0;3.300;22.00;0;0;0;1.4055;200.02
552.05;4.000;4.100;19.55;0;4;0;1.3232;212.50
399.65;0;3.62;15.63;0;0;0;1.1945;420.42
413.70;0;3.600;16.50;0;0;0;1.7000;180.91
838.73;0;15.000;16.69;0;0;0;6.0018;244.61
217.78;0.100;0.400;11.84;0;0;0.1;0.0430;1337.70
533.02;0;4.500;21.56;0;0;0;2.3225;4616.98
417.47;0.2;3.1;17.61;0;0;0.2;1.0589;2293.20
503.84;0;6.13;16.30;0;0;0;1.5569;180.91
495.17;0;6.04;15.98;0;0;0;1.5258;14630.79
597.73;0;7.54;18.75;0;0;0;1.9150;2191.28
670.78;0;12.07;13.19;0;0;0;2.9375;12640.27
321.22;0;0.756;17.25;0;0;0;0.1170;147.78
333.22;0;0.433;18.658;0;0;0;0.0912;118.84
490.01;0;5.52;16.81;0;0;0;0.9959;1834.56
853.22;0;14.7;18.20;0;0;0;3.3559;2191.28
462.60;0;3.900;18.723;0;0;0;0.8646;44.53
505.00;0;4.000;21.00;0;0;0;0.8473;8618.84
576.31;0;4.797;23.46;0;0;0;1.0635;1834.56
345.30;0;0.700;18.788;0;0;0;0.1380;116.22
338.62;0;0.433;18.976;0;0;0;0.1034;59.62
411.93;0;3.18;17.31;0;0;0;0.4704;109.56
428.61;0;2.300;20.207;0;0;0;0.5120;73.58
459.63;0;2.829;20.88;0;0;0;0.6298;1834.56
531.20;0;8.775;12.15;0;0;0;1.6857;71.21
910.73;0;13.5;24.19;0;0;0;2.5934;2548.00
297.07;0;0.82;15.69;0;0;0;0.1229;191.10
321.60;0;1.8;15.00;0;0;0;0.3540;137.59
1463.00;0;31.5;17.50;0;0;0;8.5600;214.03
415.01;0;6.214;10.89;0;0;0;1.2248;86.13
451.00;0;3;20.00;0;0;0;0.5300;132.50
412.59;0;2.791;18.20;0;0;0;0.6657;114.66
1464.48;0;31.54;17.50;0;0;0;8.5600;1681.68
